Feature	Intercept_mean	host_sample_type[T.tumor]_mean	Intercept_std	host_sample_type[T.tumor]_std	Intercept_hdi	host_sample_type[T.tumor]_hdi
G001591365	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G002370525	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G003581445	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000375525	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000252835	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000771705	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G001046635	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G004462915	-12.374029300000007	2.4361928712649914	2.3014774856401545	2.219237787209206	(-17.0279, -8.32139)	(-1.42882, 6.95603)
G000154105	-10.891083176550005	2.553192701039501	3.277941989659312	3.056380226294077	(-16.9091, -4.54483)	(-3.01829, 8.88712)
G000518645	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G002088015	-5.712114638534991	-1.9739366784200014	3.2119838857857594	4.717531967979375	(-10.606, 0.978919)	(-10.7773, 6.91754)
G003024515	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G001592165	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G002554425	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000376705	-8.187852036415011	3.868605169179997	3.669840091775895	3.5538877605974606	(-14.3419, -0.883296)	(-2.94787, 10.3282)
